k,density_naeem_mean,density_naeem_std,weighted_density_mean,weighted_density_std,weighted_density_threshold_mean,weighted_density_threshold_std,coverage_mean,coverage_std,weighted_coverage_mean,weighted_coverage_std,mse_weighted_density,mse_weighted_density_threshold
1,0.25,0.09848857801796104,0.25,0.09848857801796104,0.19153878,0.07663083,0.15000000000000002,0.03741657386773941,0.15,0.037416577,0.5722,0.6594818272718053
2,0.315,0.0982344135219425,0.315,0.0982344135219425,0.27974534,0.09063755,0.305,0.0739932429347437,0.305,0.07399326,0.47887500000000005,0.5269819395171567
3,0.3625,0.09321048462723731,0.3625,0.09321048462723731,0.33573407,0.08806895,0.46,0.0806225774829855,0.46000004,0.08062259,0.41509444444444443,0.44900536577754124
4,0.385,0.09695359714832658,0.385,0.09695359714832658,0.36670023,0.09331334,0.56,0.08717797887081347,0.56,0.08717796,0.387625,0.40977597417179723
5,0.3975,0.09399867020335978,0.3975,0.0939986702033598,0.3828321,0.09190303,0.63,0.09695359714832659,0.63000005,0.09695361,0.371842,0.38934237175891795
6,0.4158333333333333,0.09689269551645491,0.41583333333333333,0.09689269551645492,0.4010207,0.093338706,0.71,0.09949874371066196,0.71000004,0.09949877,0.35063888888888894,0.3674883088351386
7,0.42714285714285716,0.088813034527826,0.42714285714285716,0.08881303452782602,0.4156906,0.08534137,0.7575,0.08569568250501304,0.75750005,0.085695684,0.3360530612244898,0.3487006231963825
8,0.4478125,0.10616494757569468,0.4478125,0.10616494757569468,0.43773472,0.101882145,0.81,0.0754983443527075,0.8100001,0.07549836,0.31618203125000005,0.32652221355375843
9,0.46583333333333327,0.11501442475287423,0.4658333333333333,0.11501442475287424,0.45793805,0.11293769,0.8325,0.06398241946034865,0.8325001,0.06398244,0.29856234567901235,0.3065860836430483
10,0.4790000000000001,0.11322985472038725,0.479,0.11322985472038725,0.46973002,0.10875057,0.855,0.061441028637222526,0.8550001,0.061441027,0.28426200000000007,0.29301293870697975
11,0.4906818181818181,0.10797703115106633,0.49068181818181816,0.10797703115106633,0.48367202,0.10589857,0.865,0.05809475019311124,0.86500007,0.05809475,0.2710640495867768,0.27780908590035835
12,0.49583333333333335,0.10993685056026987,0.49583333333333335,0.10993685056026987,0.48971856,0.108090125,0.8875,0.05739120141624497,0.88750005,0.057391204,0.2662701388888889,0.2720706269044655
13,0.5048076923076923,0.10142895464430603,0.5048076923076923,0.10142895464430603,0.49868143,0.09973333,0.8975,0.055170191226784765,0.8975001,0.055170186,0.25550325443786986,0.26126705002742767
14,0.5178571428571428,0.10383709769221623,0.5178571428571428,0.10383709769221623,0.51350147,0.10310452,0.9225,0.046300647943630334,0.9225001,0.046300653,0.24324387755102048,0.24731136572629353
15,0.5263333333333333,0.10210833027285827,0.5263333333333333,0.1021083302728583,0.5209574,0.10142645,0.9324999999999999,0.04683748498798799,0.93250006,0.046837494,0.23478622222222223,0.2397691276103764
16,0.53296875,0.09928639426395493,0.53296875,0.09928639426395493,0.52856857,0.09778061,0.945,0.05172040216394301,0.94500005,0.05172041,0.22797597656250002,0.2318086449982708
17,0.5423529411764705,0.09577583401162756,0.5423529411764706,0.09577583401162759,0.53737545,0.09437335,0.9675,0.042352685865243545,0.9675001,0.0423527,0.21861384083044982,0.22292780412044522
18,0.5468055555555555,0.09342329906742736,0.5468055555555555,0.09342329906742737,0.5427196,0.092545226,0.975,0.023979157616563586,0.97500014,0.023979174,0.2141131172839506,0.21766998120762082
19,0.5536842105263158,0.08826741037365955,0.5536842105263158,0.08826741037365955,0.5427196,0.092545226,0.985,0.019364916731037102,0.98500013,0.01936492,0.20698891966759003,0.21766998120762082
20,0.562625,0.08860719144065,0.562625,0.08860719144065,0.5506786,0.08751264,0.99,0.010000000000000009,0.9900001,0.010000013,0.19914812499999995,0.2095481728312194
21,0.5766666666666667,0.08320534388908371,0.5766666666666667,0.08320534388908371,0.55976903,0.08865298,0.99,0.010000000000000009,0.9900001,0.010000013,0.18613424036281181,0.2016626541991542
22,0.5882954545454546,0.08744589531497758,0.5882954545454546,0.0874458953149776,0.5732031,0.08227187,0.9924999999999999,0.009682458365518551,0.9925001,0.009682468,0.17714741735537182,0.18892426476031687
23,0.5977173913043478,0.08246318706654517,0.5977173913043478,0.08246318706654517,0.58533335,0.086299025,0.995,0.008660254037844393,0.9950001,0.008660259,0.16863147448015128,0.17939595451230161
24,0.6142708333333333,0.08878954273621165,0.6142708333333333,0.08878954273621165,0.59499764,0.08201772,0.9975,0.006614378277661483,0.9975001,0.006614372,0.15667057291666667,0.17075381465662076
25,0.6265000000000001,0.09009100954035316,0.6265000000000001,0.09009100954035314,0.61169994,0.088184066,0.9975,0.006614378277661483,0.9975001,0.006614372,0.14761863999999997,0.15855336649339336
26,0.644423076923077,0.08963415947270716,0.644423076923077,0.08963415947270717,0.62381315,0.08928533,0.9975,0.006614378277661483,0.9975001,0.006614372,0.13446923076923073,0.14948841415412062
27,0.6571296296296296,0.09268768265403465,0.6571296296296296,0.09268768265403465,0.6539397,0.09198755,0.9975,0.006614378277661483,0.9975001,0.006614372,0.12615109739369,0.1282194237812746
28,0.6647321428571429,0.08761212750072948,0.6647321428571429,0.08761212750072951,0.6625904,0.08634377,1.0,0.0,1.0000001,0.0,0.12008042091836733,0.12130049609744731
29,0.6764655172413793,0.08452738968884577,0.6764655172413794,0.08452738968884575,0.67460746,0.08384842,1.0,0.0,1.0000001,0.0,0.11181944114149817,0.11291086477595869
30,0.68775,0.08658646128453211,0.6877500000000001,0.0865864612845321,0.68613577,0.086299345,1.0,0.0,1.0000001,0.0,0.10499727777777772,0.1059583331173144
31,0.7025806451612903,0.08900654140045416,0.7025806451612904,0.08900654140045415,0.70076346,0.08824156,1.0,0.0,1.0000001,0.0,0.09638043704474503,0.09732907740368546
32,0.714609375,0.08777798337416036,0.714609375,0.08777798337416036,0.71283895,0.08725064,1.0,0.0,1.0000001,0.0,0.089152783203125,0.09007414441319739
33,0.7279545454545455,0.08630004969103931,0.7279545454545454,0.0863000496910393,0.726645,0.085766524,1.0,0.0,1.0000001,0.0,0.08145642791551885,0.08207885716751662
34,0.7427941176470589,0.08703087289789894,0.7427941176470589,0.08703087289789894,0.7407676,0.08670206,1.0,0.0,1.0000001,0.0,0.0737292387543252,0.07471868655990477
35,0.7565714285714286,0.08844599412947443,0.7565714285714286,0.0884459941294744,0.75478756,0.088146254,1.0,0.0,1.0000001,0.0,0.06708016326530612,0.06789890117126163
36,0.769236111111111,0.08744175199688049,0.7692361111111111,0.08744175199688049,0.7676515,0.08693317,1.0,0.0,1.0000001,0.0,0.060898032407407404,0.06154320298754001
37,0.7837162162162163,0.0841810275424386,0.7837162162162161,0.0841810275424386,0.78174216,0.083825566,1.0,0.0,1.0000001,0.0,0.05386512052593138,0.05466321211179448
38,0.7951315789473683,0.08187710793209603,0.7951315789473684,0.081877107932096,0.7935829,0.0813571,1.0,0.0,1.0000001,0.0,0.048674930747922444,0.04922698998416308
39,0.8064102564102564,0.0807859160624953,0.8064102564102564,0.08078591606249533,0.80476075,0.08012745,1.0,0.0,1.0000001,0.0,0.0440033530571992,0.04453877104620929
40,0.8168125,0.07592180907848547,0.8168124999999999,0.07592180907848547,0.8151554,0.075456515,1.0,0.0,1.0000001,0.0,0.03932178125000002,0.03986121671199783
41,0.826829268292683,0.07214401618970878,0.826829268292683,0.07214401618970881,0.8251736,0.072058715,1.0,0.0,1.0000001,0.0,0.035192861392028534,0.03575672302901012
42,0.8407738095238095,0.07022798050657404,0.8407738095238095,0.07022798050657407,0.8393674,0.0700239,1.0,0.0,1.0000001,0.0,0.030284948979591837,0.030706182730000364
43,0.8545348837209302,0.0641674012352626,0.8545348837209302,0.06416740123526261,0.85291576,0.06425471,1.0,0.0,1.0000001,0.0,0.025277555435370472,0.02576244051397225
44,0.8670454545454546,0.06057020719792859,0.8670454545454546,0.060570207197928584,0.8661081,0.060441427,1.0,0.0,1.0000001,0.0,0.021345661157024787,0.021580201551419265
45,0.8816666666666667,0.05453043096505444,0.8816666666666667,0.05453043096505444,0.8805109,0.054752827,1.0,0.0,1.0000001,0.0,0.016976345679012336,0.01727551070042921
46,0.8980434782608695,0.04758635568770794,0.8980434782608695,0.04758635568770789,0.8968164,0.047346704,1.0,0.0,1.0000001,0.0,0.012659593572778838,0.012888571341150623
47,0.9173936170212766,0.03841732994860866,0.9173936170212766,0.038417329948608615,0.9159806,0.038337044,1.0,0.0,1.0000001,0.0,0.008299705749207777,0.008528992248614031
48,0.9408333333333333,0.02957379541080246,0.9408333333333333,0.029573795410802448,0.93937445,0.029794315,1.0,0.0,1.0000001,0.0,0.004375303819444449,0.004563158922110233
